model,metric,mean,ci95_low,ci95_high,units
linear,single_target,0.8575,0.8225,0.8925,proportion
linear,single_unchanged,0.960625,0.950625,0.97,proportion
linear,single_all_targets,0.8575,0.8225,0.8925,proportion
linear,single_all_five,0.7325,0.69,0.775,proportion
linear,swap_target,0.76125,0.72875,0.795,proportion
linear,swap_unchanged,0.9558333333333333,0.9433333333333335,0.9666666666666666,proportion
linear,swap_all_targets,0.6325,0.585,0.68,proportion
linear,swap_all_five,0.56,0.5125,0.6075,proportion
linear,joint,0.64625,0.61,0.68125,proportion
tanh,single_target,0.89,0.8575,0.92,proportion
tanh,single_unchanged,0.961875,0.9525,0.970625,proportion
tanh,single_all_targets,0.89,0.8575,0.92,proportion
tanh,single_all_five,0.765,0.7225,0.805,proportion
tanh,swap_target,0.80875,0.78,0.83875,proportion
tanh,swap_unchanged,0.9541666666666666,0.9425,0.965,proportion
tanh,swap_all_targets,0.6875,0.6425,0.7325,proportion
tanh,swap_all_five,0.5925,0.545,0.64,proportion
tanh,joint,0.67875,0.64375,0.7125,proportion
original,single_target,0.0,0.0,0.0,proportion
original,single_unchanged,0.98125,0.974375,0.9875,proportion
original,single_all_targets,0.0,0.0,0.0,proportion
original,single_all_five,0.0,0.0,0.0,proportion
original,swap_target,0.015,0.0075,0.02375,proportion
original,swap_unchanged,0.9841666666666667,0.9766666666666666,0.9908333333333332,proportion
original,swap_all_targets,0.0,0.0,0.0,proportion
original,swap_all_five,0.0,0.0,0.0,proportion
original,joint,0.0,0.0,0.0,proportion
donor,single_target,0.995,0.9875,1.0,proportion
donor,single_unchanged,0.98125,0.974375,0.9875,proportion
donor,single_all_targets,0.995,0.9875,1.0,proportion
donor,single_all_five,0.9225,0.8974375,0.9475,proportion
donor,swap_target,0.98375,0.975,0.99125,proportion
donor,swap_unchanged,0.9775,0.9691666666666666,0.985,proportion
donor,swap_all_targets,0.9675,0.95,0.9825,proportion
donor,swap_all_five,0.9,0.87,0.9275,proportion
donor,joint,0.91125,0.88875,0.9325,proportion
